_MEMBER_Npas2,Gene,_PATTERN_,_WEIGHTED_RANK_,_RANK_
1,54112,M1,0.013333333333333334,1
1,11334,M1,0.013333333333333334,1
1,9679,M1,0.013333333333333334,1
1,56848,M1,0.013333333333333334,1
1,124222,M1,0.013333333333333334,1
1,10140,M1,0.013333333333333334,1
1,9672,M1,0.013333333333333334,1
1,4297,M1,0.013333333333333334,1
1,10252,M1,0.013333333333333334,1
1,23231,M1,0.013333333333333334,1
1,79102,M1,0.013333333333333334,1
1,3787,M1,0.013333333333333334,1
1,9196,M1,0.013333333333333334,1
1,140775,M1,0.013333333333333334,1
1,10846,M1,0.013333333333333334,1
1,252995,M1,0.013333333333333334,1
1,1301,M1,0.013333333333333334,1
1,6160,M1,0.013333333333333334,1
1,80757,M1,0.013333333333333334,1
1,146057,M1,0.013333333333333334,1
1,23216,M1,0.013333333333333334,1
1,9575,M1,0.013333333333333334,1
1,3745,M1,0.013333333333333334,1
1,5621,M1,0.013333333333333334,1
1,2850,M1,0.013333333333333334,1
1,3800,M1,0.013333333333333334,1
1,9592,M1,0.013333333333333334,1
1,8507,M1,0.013333333333333334,1
1,1137,M1,0.013333333333333334,1
1,80274,M1,0.013333333333333334,1
1,57692,M1,0.013333333333333334,1
1,406,M1,0.013333333333333334,1
1,1850,M1,0.013333333333333334,1
1,84206,M1,0.013333333333333334,1
1,64881,M1,0.013333333333333334,1
1,134548,M1,0.013333333333333334,1
1,6193,M1,0.013333333333333334,1
1,682,M1,0.013333333333333334,1
1,6139,M1,0.013333333333333334,1
1,57468,M1,0.013333333333333334,1
1,126792,M1,0.013333333333333334,1
1,10123,M1,0.013333333333333334,1
1,344838,M1,0.013333333333333334,1
1,6506,M1,0.013333333333333334,1
1,55534,M1,0.013333333333333334,1
1,24147,M1,0.013333333333333334,1
1,6154,M1,0.013333333333333334,1
1,8445,M1,0.013333333333333334,1
1,9951,M1,0.013333333333333334,1
1,110806277,M1,0.013333333333333334,1
1,811,M1,0.013333333333333334,1
1,8851,M1,0.013333333333333334,1
1,5097,M1,0.013333333333333334,1
1,5654,M1,0.013333333333333334,1
1,120103,M1,0.013333333333333334,1
1,3566,M1,0.013333333333333334,1
1,1203,M1,0.013333333333333334,1
1,3737,M1,0.013333333333333334,1
1,9759,M1,0.013333333333333334,1
1,100131755,M1,0.013333333333333334,1
1,114801,M1,0.013333333333333334,1
1,84919,M1,0.013333333333333334,1
1,375743,M1,0.013333333333333334,1
1,9883,M1,0.013333333333333334,1
1,8835,M1,0.013333333333333334,1
1,3980,M1,0.013333333333333334,1
1,6201,M1,0.013333333333333334,1
1,5027,M1,0.013333333333333334,1
1,10125,M1,0.013333333333333334,1
1,130399,M1,0.013333333333333334,1
1,6324,M1,0.013333333333333334,1
1,85465,M1,0.013333333333333334,1
1,94103,M1,0.013333333333333334,1
1,3788,M1,0.013333333333333334,1
1,8482,M1,0.013333333333333334,1
