Gene,Gene Symbol,Description,Biological Process (GO),Kinase Class (UniProt),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Canonical Pathways,Hallmark Gene Sets
10803,CCR9,C-C motif chemokine receptor 9,"GO:0002304 gamma-delta intraepithelial T cell differentiation;GO:0002305 CD8-positive, gamma-delta intraepithelial T cell differentiation;GO:0042492 gamma-delta T cell differentiation",,Predicted intracellular proteins; CD markers; G-protein coupled receptors:Chemokines and chemotactic factors receptors; G-protein coupled receptors:GPCRs excl olfactory receptors,Plasma membrane (Approved); Additional: Endoplasmic reticulum,,
5354,PLP1,proteolipid protein 1,GO:0098990 AMPA selective glutamate receptor signaling pathway;GO:0035235 ionotropic glutamate receptor signaling pathway;GO:0022010 central nervous system myelination,,Human disease related genes:Nervous system diseases:Other nervous and sensory system diseases; Potential drug targets; Cancer-related genes:Candidate cancer biomarkers; Transporters; Human disease related genes:Congenital disorders of metabolism:Congenital disorders of lipid/glycolipid metabolism; Disease related genes,,,
6613,SUMO2,small ubiquitin like modifier 2,GO:0016925 protein sumoylation;GO:0032436 positive regulation of proteasomal ubiquitin-dependent protein catabolic process;GO:2000060 positive regulation of ubiquitin-dependent protein catabolic process,,Predicted intracellular proteins,Nuclear bodies;Nucleoplasm (Approved),(M115)PID REG GR PATHWAY,
3769,KCNJ13,potassium inwardly rectifying channel subfamily J member 13,GO:1990573 potassium ion import across plasma membrane;GO:0098659 inorganic cation import across plasma membrane;GO:0099587 inorganic ion import across plasma membrane,,Disease related genes; Transporters:Transporter channels and pores; Voltage-gated ion channels:Inwardly Rectifying Potassium Channels; Human disease related genes:Nervous system diseases:Eye disease; Potential drug targets,Nuclear membrane (Approved),,
29119,CTNNA3,catenin alpha 3,GO:0086073 bundle of His cell-Purkinje myocyte adhesion involved in cell communication;GO:0086042 cardiac muscle cell-cardiac muscle cell adhesion;GO:0098911 regulation of ventricular cardiac muscle cell action potential,,Predicted intracellular proteins; Human disease related genes:Cardiovascular diseases:Cardiac diseases; Disease related genes,,,
79184,BRCC3,BRCA1/BRCA2-containing complex subunit 3,GO:1900227 positive regulation of NLRP3 inflammasome complex assembly;GO:0141087 positive regulation of inflammasome-mediated signaling pathway;GO:2000001 regulation of DNA damage checkpoint,,Enzymes; Disease related genes; Predicted intracellular proteins; Peptidases:Metallopeptidases; Potential drug targets,Nucleoplasm (Supported),,
55840,EAF2,ELL associated factor 2,GO:0060770 negative regulation of epithelial cell proliferation involved in prostate gland development;GO:0060767 epithelial cell proliferation involved in prostate gland development;GO:0060768 regulation of epithelial cell proliferation involved in prostate gland development,,Predicted intracellular proteins,,,
443,ASPA,aspartoacylase,GO:0006083 acetate metabolic process;GO:0006531 aspartate metabolic process;GO:0022010 central nervous system myelination,,Enzymes; Human disease related genes:Congenital disorders of metabolism:Congenital disorders of amino acid metabolism; Potential drug targets; Predicted intracellular proteins; ENZYME proteins:Hydrolases; Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Disease related genes,Cytosol (Supported),,
55450,CAMK2N1,calcium/calmodulin dependent protein kinase II inhibitor 1,GO:0007616 long-term memory;GO:0007613 memory;GO:0050729 positive regulation of inflammatory response,,Predicted intracellular proteins,Cell Junctions;Nuclear membrane (Approved); Additional: Centriolar satellite,,
220988,HNRNPA3,heterogeneous nuclear ribonucleoprotein A3,"GO:0000377 RNA splicing, via transesterification reactions with bulged adenosine as nucleophile;GO:0000398 mRNA splicing, via spliceosome;GO:0000375 RNA splicing, via transesterification reactions",,Predicted intracellular proteins,Nucleoplasm (Approved),,(M5926)HALLMARK MYC TARGETS V1
3357,HTR2B,5-hydroxytryptamine receptor 2B,GO:0007208 phospholipase C-activating serotonin receptor signaling pathway;GO:0010513 positive regulation of phosphatidylinositol biosynthetic process;GO:0010511 regulation of phosphatidylinositol biosynthetic process,,G-protein coupled receptors:Serotonin receptors; Transporters; FDA approved drug targets:Small molecule drugs; G-protein coupled receptors:GPCRs excl olfactory receptors,Nucleoplasm (Supported),,
8528,DDO,D-aspartate oxidase,GO:0019478 D-amino acid catabolic process;GO:0006533 aspartate catabolic process;GO:0046416 D-amino acid metabolic process,,Enzymes; Predicted intracellular proteins; ENZYME proteins:Oxidoreductases,Cytosol (Enhanced),,
60592,SCOC,short coiled-coil protein,GO:0061635 regulation of protein complex stability;GO:0016239 positive regulation of macroautophagy;GO:0010508 positive regulation of autophagy,,Predicted intracellular proteins,Golgi apparatus;Nucleoplasm (Approved),,
7534,YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,GO:0090168 Golgi reassembly;GO:0051683 establishment of Golgi localization;GO:0048308 organelle inheritance,,Predicted intracellular proteins; Transporters:Accessory Factors Involved in Transport,,(M199)PID P38 MK2 PATHWAY; (M182)PID IL3 PATHWAY; (M247)PID INSULIN GLUCOSE PATHWAY,(M5922)HALLMARK UNFOLDED PROTEIN RESPONSE
7529,YWHAB,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta,GO:0051220 cytoplasmic sequestering of protein;GO:0035308 negative regulation of protein dephosphorylation;GO:0035305 negative regulation of dephosphorylation,,Cancer-related genes:Candidate cancer biomarkers; Predicted intracellular proteins,Cytosol (Supported),(M199)PID P38 MK2 PATHWAY; (M247)PID INSULIN GLUCOSE PATHWAY; (M30)PID HDAC CLASSII PATHWAY,(M5923)HALLMARK PI3K AKT MTOR SIGNALING
196294,IMMP1L,inner mitochondrial membrane peptidase subunit 1,GO:0006627 protein processing involved in protein targeting to mitochondrion;GO:0034982 mitochondrial protein processing;GO:0006465 signal peptide processing,,Enzymes; Predicted intracellular proteins; Peptidases:Serine-type peptidases,Mitochondria (Enhanced),,
84707,BEX2,brain expressed X-linked 2,GO:0031397 negative regulation of protein ubiquitination;GO:1903321 negative regulation of protein modification by small protein conjugation or removal;GO:1901874 negative regulation of post-translational protein modification,,Predicted intracellular proteins,Cytosol (Uncertain),,
6019,RLN2,relaxin 2,GO:0007565 female pregnancy;GO:0045766 positive regulation of angiogenesis;GO:0044703 multi-organism reproductive process,,Predicted secreted proteins; Predicted intracellular proteins,,,
