Gene,Gene Symbol,Description,Biological Process (GO),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Canonical Pathways,Hallmark Gene Sets
60386,SLC25A19,solute carrier family 25 member 19,GO:0030302 deoxynucleotide transport;GO:0030974 thiamine pyrophosphate transmembrane transport;GO:0009229 thiamine diphosphate biosynthetic process,Disease related genes; Human disease related genes:Congenital malformations:Congenital malformations of the nervous system; Predicted intracellular proteins; Transporters:Electrochemical Potential-driven transporters; Potential drug targets,Mitochondria (Supported),,(M5949)HALLMARK PEROXISOME
729438,CASTOR2,cytosolic arginine sensor for mTORC1 subunit 2,GO:1903576 response to L-arginine;GO:1903577 cellular response to L-arginine;GO:1904262 negative regulation of TORC1 signaling,Predicted intracellular proteins,,,
5074,PAWR,pro-apoptotic WT1 regulator,GO:0042986 positive regulation of amyloid precursor protein biosynthetic process;GO:1901300 positive regulation of hydrogen peroxide-mediated programmed cell death;GO:1901298 regulation of hydrogen peroxide-mediated programmed cell death,Predicted intracellular proteins,Actin filaments;Cytosol;Plasma membrane (Approved),(M144)PID CERAMIDE PATHWAY; (M58)PID AR PATHWAY,
721,C4B,complement C4B (Chido/Rodgers blood group),GO:0008228 opsonization;GO:2000427 positive regulation of apoptotic cell clearance;GO:2000425 regulation of apoptotic cell clearance,Human disease related genes:Immune system diseases:Primary immunodeficiency; Predicted secreted proteins; Predicted intracellular proteins; FDA approved drug targets:Biotech drugs; Disease related genes; Blood group antigen proteins,,,
342035,GLDN,gliomedin,GO:0045162 clustering of voltage-gated sodium channels;GO:0045161 neuronal ion channel clustering;GO:0032528 microvillus organization,Predicted secreted proteins; Human disease related genes:Congenital malformations:Congenital malformations of the musculoskeletal system; Predicted intracellular proteins; Disease related genes,Plasma membrane;Vesicles (Supported),(M3008)NABA ECM GLYCOPROTEINS; (M5884)NABA CORE MATRISOME; (M5889)NABA MATRISOME,
144402,CPNE8,copine 8,GO:0071277 cellular response to calcium ion;GO:0051592 response to calcium ion;GO:0071248 cellular response to metal ion,Predicted intracellular proteins,,,
374569,ASPG,asparaginase,GO:0009066 aspartate family amino acid metabolic process;GO:0170039 proteinogenic amino acid metabolic process;GO:0170033 L-amino acid metabolic process,Enzymes; ENZYME proteins:Hydrolases; Predicted intracellular proteins,,,
2670,GFAP,glial fibrillary acidic protein,GO:0010625 positive regulation of Schwann cell proliferation;GO:0014010 Schwann cell proliferation;GO:0070777 D-aspartate transport,Disease related genes; Predicted intracellular proteins; Candidate cardiovascular disease genes; Human disease related genes:Nervous system diseases:Neurodegenerative diseases,Intermediate filaments (Supported),,
57188,ADAMTSL3,ADAMTS like 3,GO:0030198 extracellular matrix organization;GO:0043062 extracellular structure organization;GO:0045229 external encapsulating structure organization,Predicted secreted proteins,Vesicles (Approved),(M3468)NABA ECM REGULATORS; (M5885)NABA MATRISOME ASSOCIATED; (M5889)NABA MATRISOME,
1903,S1PR3,sphingosine-1-phosphate receptor 3,GO:1901551 negative regulation of endothelial cell development;GO:1903141 negative regulation of establishment of endothelial barrier;GO:0045602 negative regulation of endothelial cell differentiation,G-protein coupled receptors:Lysolipids receptors; FDA approved drug targets:Small molecule drugs; G-protein coupled receptors:GPCRs excl olfactory receptors,,(M155)PID S1P META PATHWAY; (M55)PID S1P S1P3 PATHWAY,
960,CD44,CD44 molecule (IN blood group),GO:0070487 monocyte aggregation;GO:1900623 regulation of monocyte aggregation;GO:1900625 positive regulation of monocyte aggregation,Predicted secreted proteins; CD markers; Predicted intracellular proteins; Cancer-related genes:Candidate cancer biomarkers; FDA approved drug targets:Small molecule drugs; Transporters; Blood group antigen proteins,Plasma membrane (Supported); Additional: Golgi apparatus,(M11736)SA MMP CYTOKINE CONNECTION; (M63)PID AVB3 OPN PATHWAY,(M5897)HALLMARK IL6 JAK STAT3 SIGNALING; (M5902)HALLMARK APOPTOSIS; (M5947)HALLMARK IL2 STAT5 SIGNALING
2788,GNG7,G protein subunit gamma 7,GO:0007168 receptor guanylyl cyclase signaling pathway;GO:0001662 behavioral fear response;GO:0002209 behavioral defense response,Predicted intracellular proteins; RAS pathway related proteins,,,
9180,OSMR,oncostatin M receptor,GO:0038165 oncostatin-M-mediated signaling pathway;GO:0002675 positive regulation of acute inflammatory response;GO:0002673 regulation of acute inflammatory response,Predicted intracellular proteins; Human disease related genes:Skin diseases:Skin and soft tissue diseases; Disease related genes,Nucleoli (Approved),,(M5897)HALLMARK IL6 JAK STAT3 SIGNALING; (M5932)HALLMARK INFLAMMATORY RESPONSE
84166,NLRC5,NLR family CARD domain containing 5,GO:0045345 positive regulation of MHC class I biosynthetic process;GO:0060332 positive regulation of response to type II interferon;GO:0060335 positive regulation of type II interferon-mediated signaling pathway,Predicted intracellular proteins,Cytosol (Supported); Additional: Centrosome,,(M5913)HALLMARK INTERFERON GAMMA RESPONSE
3554,IL1R1,interleukin 1 receptor type 1,GO:2000661 positive regulation of interleukin-1-mediated signaling pathway;GO:2000391 positive regulation of neutrophil extravasation;GO:2000389 regulation of neutrophil extravasation,Predicted secreted proteins; Enzymes; Transporters:Accessory Factors Involved in Transport; Human disease related genes:Immune system diseases:Allergies and autoimmune diseases; CD markers; Cancer-related genes:Candidate cancer biomarkers; FDA approved drug targets:Biotech drugs; ENZYME proteins:Hydrolases; Human disease related genes:Skin diseases:Skin and soft tissue diseases,Nucleoplasm;Vesicles (Approved); Additional: Cytosol;Plasma membrane,(M110)PID IL1 PATHWAY; (M54)PID IL12 2PATHWAY,(M5897)HALLMARK IL6 JAK STAT3 SIGNALING; (M5932)HALLMARK INFLAMMATORY RESPONSE; (M5934)HALLMARK XENOBIOTIC METABOLISM
10512,SEMA3C,semaphorin 3C,GO:0140074 cardiac endothelial to mesenchymal transition;GO:0003350 pulmonary myocardium development;GO:1905310 regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis,Predicted secreted proteins,Cytosol;Golgi apparatus (Approved); Additional: Plasma membrane,(M5880)NABA ECM AFFILIATED; (M5885)NABA MATRISOME ASSOCIATED; (M5889)NABA MATRISOME,(M5949)HALLMARK PEROXISOME
8038,ADAM12,ADAM metallopeptidase domain 12,GO:0007520 myoblast fusion;GO:0000768 syncytium formation by plasma membrane fusion;GO:0140253 cell-cell fusion,Predicted secreted proteins; Transporters:Accessory Factors Involved in Transport,Plasma membrane (Supported),(M118)PID INTEGRIN A9B1 PATHWAY; (M165)PID SYNDECAN 4 PATHWAY; (M17)PID NOTCH PATHWAY,(M5909)HALLMARK MYOGENESIS; (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION
1809,DPYSL3,dihydropyrimidinase like 3,GO:0051764 actin crosslink formation;GO:0051491 positive regulation of filopodium assembly;GO:0051489 regulation of filopodium assembly,Predicted intracellular proteins,Cytosol (Approved),,(M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION
710,SERPING1,serpin family G member 1,"GO:0001868 regulation of complement activation, lectin pathway;GO:0001869 negative regulation of complement activation, lectin pathway;GO:0045916 negative regulation of complement activation",Human disease related genes:Immune system diseases:Primary immunodeficiency; Predicted secreted proteins; Predicted intracellular proteins; Candidate cardiovascular disease genes; Human disease related genes:Cardiovascular diseases:Vascular diseases; Disease related genes,,(M3468)NABA ECM REGULATORS; (M5885)NABA MATRISOME ASSOCIATED; (M5889)NABA MATRISOME,(M5946)HALLMARK COAGULATION; (M5913)HALLMARK INTERFERON GAMMA RESPONSE; (M5921)HALLMARK COMPLEMENT
29015,SLC43A3,solute carrier family 43 member 3,GO:0035344 hypoxanthine transport;GO:0015854 guanine transport;GO:1903716 guanine transmembrane transport,Transporters:Electrochemical Potential-driven transporters; Predicted intracellular proteins,Vesicles (Approved); Additional: Nucleoplasm;Plasma membrane,,
9630,GNA14,G protein subunit alpha 14,GO:0060158 phospholipase C-activating dopamine receptor signaling pathway;GO:0007212 dopamine receptor signaling pathway;GO:1903351 cellular response to dopamine,Predicted intracellular proteins,,(M138)PID THROMBIN PAR4 PATHWAY; (M155)PID S1P META PATHWAY; (M268)PID S1P S1P2 PATHWAY,(M5923)HALLMARK PI3K AKT MTOR SIGNALING
55799,CACNA2D3,calcium voltage-gated channel auxiliary subunit alpha2delta 3,GO:0070588 calcium ion transmembrane transport;GO:0006816 calcium ion transport;GO:0098662 inorganic cation transmembrane transport,Predicted intracellular proteins; FDA approved drug targets:Small molecule drugs; Transporters:Accessory Factors Involved in Transport,Nucleoplasm (Uncertain),,
2634,GBP2,guanylate binding protein 2,GO:0140973 positive regulation of AIM2 inflammasome complex assembly;GO:0140971 regulation of AIM2 inflammasome complex assembly;GO:0140639 positive regulation of pyroptosis,Predicted intracellular proteins,Cytosol;Nucleoplasm (Approved),,(M5911)HALLMARK INTERFERON ALPHA RESPONSE; (M5950)HALLMARK ALLOGRAFT REJECTION
5216,PFN1,profilin 1,GO:0098885 modification of postsynaptic actin cytoskeleton;GO:0099010 modification of postsynaptic structure;GO:0060074 synapse maturation,Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Predicted intracellular proteins; Disease related genes,Cytosol (Approved),(M16801)SIG REGULATION OF THE ACTIN CYTOSKELETON BY RHO GTPASES,(M5923)HALLMARK PI3K AKT MTOR SIGNALING; (M5915)HALLMARK APICAL JUNCTION; (M5921)HALLMARK COMPLEMENT
55601,DDX60,DExD/H-box helicase 60,GO:1900245 positive regulation of MDA-5 signaling pathway;GO:0039533 regulation of MDA-5 signaling pathway;GO:1900246 positive regulation of RIG-I signaling pathway,Enzymes; ENZYME proteins:Hydrolases; Predicted intracellular proteins,Cytosol (Supported); Additional: Intermediate filaments,,(M5911)HALLMARK INTERFERON ALPHA RESPONSE; (M5913)HALLMARK INTERFERON GAMMA RESPONSE
6344,SCTR,secretin receptor,GO:0009992 intracellular water homeostasis;GO:0002024 diet induced thermogenesis;GO:0043950 positive regulation of cAMP-mediated signaling,G-protein coupled receptors:Family 2 (B) receptors; FDA approved drug targets:Biotech drugs; Transporters; G-protein coupled receptors:GPCRs excl olfactory receptors,,,
8611,PLPP1,phospholipid phosphatase 1,GO:0006670 sphingosine metabolic process;GO:0046519 sphingoid metabolic process;GO:0030521 androgen receptor signaling pathway,Enzymes; ENZYME proteins:Hydrolases,Plasma membrane (Supported),(M7)PID FCER1 PATHWAY; (M19)PID P73PATHWAY,(M5908)HALLMARK ANDROGEN RESPONSE; (M5947)HALLMARK IL2 STAT5 SIGNALING
23671,TMEFF2,transmembrane protein with EGF like and two follistatin like domains 2,"GO:0045720 negative regulation of integrin biosynthetic process;GO:0045113 regulation of integrin biosynthetic process;GO:0044319 wound healing, spreading of cells",Predicted secreted proteins,,(M254)PID MYC REPRESS PATHWAY,
