Gene,Gene Symbol,Description,Biological Process (GO),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Canonical Pathways,Hallmark Gene Sets
7534,YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,GO:0090168 Golgi reassembly;GO:0051683 establishment of Golgi localization;GO:0048308 organelle inheritance,Predicted intracellular proteins; Transporters:Accessory Factors Involved in Transport,,(M199)PID P38 MK2 PATHWAY; (M182)PID IL3 PATHWAY; (M247)PID INSULIN GLUCOSE PATHWAY,(M5922)HALLMARK UNFOLDED PROTEIN RESPONSE
64137,ABCG4,ATP binding cassette subfamily G member 4,GO:0071403 cellular response to high density lipoprotein particle stimulus;GO:0045542 positive regulation of cholesterol biosynthetic process;GO:0106120 positive regulation of sterol biosynthetic process,Transporters:Primary Active Transporters; Predicted intracellular proteins,,,(M5948)HALLMARK BILE ACID METABOLISM; (M5956)HALLMARK KRAS SIGNALING DN
2823,GPM6A,glycoprotein M6A,GO:0051491 positive regulation of filopodium assembly;GO:0051489 regulation of filopodium assembly;GO:0003407 neural retina development,Predicted intracellular proteins,,,
2495,FTH1,ferritin heavy chain 1,GO:0006880 intracellular sequestering of iron ion;GO:0097577 sequestering of iron ion;GO:0051238 sequestering of metal ion,Enzymes; Human disease related genes:Congenital disorders of metabolism:Congenital disorders of ion transport and metabolism; Predicted intracellular proteins; Cancer-related genes:Candidate cancer biomarkers; FDA approved drug targets:Small molecule drugs; Candidate cardiovascular disease genes; Disease related genes; ENZYME proteins:Oxidoreductases,,(M254)PID MYC REPRESS PATHWAY,
116966,WDR17,WD repeat domain 17,,Predicted intracellular proteins,Nuclear speckles (Approved),,
1471,CST3,cystatin C,GO:0010711 negative regulation of collagen catabolic process;GO:0060311 negative regulation of elastin catabolic process;GO:0060310 regulation of elastin catabolic process,Predicted secreted proteins; Cancer-related genes:Candidate cancer biomarkers; Human disease related genes:Nervous system diseases:Eye disease; Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Disease related genes,Golgi apparatus;Vesicles (Supported),(M3468)NABA ECM REGULATORS; (M5885)NABA MATRISOME ASSOCIATED; (M5889)NABA MATRISOME,
64840,PORCN,porcupine O-acyltransferase,GO:0045234 protein palmitoleylation;GO:0061355 Wnt protein secretion;GO:0018345 protein palmitoylation,Enzymes; Potential drug targets; ENZYME proteins:Transferases; Human disease related genes:Congenital malformations:Congenital malformations of skin; Transporters:Electrochemical Potential-driven transporters; Disease related genes,Vesicles (Approved),(M5493)WNT SIGNALING,
79966,SCD5,stearoyl-CoA desaturase 5,GO:0006636 unsaturated fatty acid biosynthetic process;GO:0033559 unsaturated fatty acid metabolic process;GO:0006633 fatty acid biosynthetic process,Enzymes; Disease related genes; Human disease related genes:Nervous system diseases:Ear disease; Potential drug targets; ENZYME proteins:Oxidoreductases,,,
5764,PTN,pleiotrophin,GO:0031104 dendrite regeneration;GO:0043932 ossification involved in bone remodeling;GO:0007185 transmembrane receptor protein tyrosine phosphatase signaling pathway,Cancer-related genes:Candidate cancer biomarkers; Predicted secreted proteins,Endoplasmic reticulum (Supported),(M251)PID SYNDECAN 3 PATHWAY; (M5883)NABA SECRETED FACTORS; (M5885)NABA MATRISOME ASSOCIATED,
81671,VMP1,vacuole membrane protein 1,GO:1901896 positive regulation of ATPase-coupled calcium transmembrane transporter activity;GO:0016240 autophagosome membrane docking;GO:1901894 regulation of ATPase-coupled calcium transmembrane transporter activity,Predicted intracellular proteins; Transporters:Accessory Factors Involved in Transport,Endoplasmic reticulum (Approved); Additional: Nucleoli,,
