Gene,Gene Symbol,Description,Biological Process (GO),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Canonical Pathways,Hallmark Gene Sets
6139,RPL17,ribosomal protein L17,GO:0002181 cytoplasmic translation;GO:0006412 translation;GO:0043043 peptide biosynthetic process,Ribosomal proteins; Predicted intracellular proteins,Cytosol;Endoplasmic reticulum (Supported),,
8851,CDK5R1,cyclin dependent kinase 5 regulatory subunit 1,GO:0021586 pons maturation;GO:0021718 superior olivary nucleus development;GO:0021722 superior olivary nucleus maturation,Predicted intracellular proteins,Nucleoplasm;Vesicles (Approved),(M163)PID LIS1 PATHWAY; (M69)PID REELIN PATHWAY; (M270)PID MAPK TRK PATHWAY,(M5919)HALLMARK HEDGEHOG SIGNALING; (M5921)HALLMARK COMPLEMENT; (M5939)HALLMARK P53 PATHWAY
152002,XXYLT1,xyloside xylosyltransferase 1,GO:0016266 O-glycan processing;GO:0006493 protein O-linked glycosylation;GO:0006486 protein glycosylation,Enzymes; ENZYME proteins:Transferases; Predicted intracellular proteins,,,
6175,RPLP0,ribosomal protein lateral stalk subunit P0,GO:0000027 ribosomal large subunit assembly;GO:0042255 ribosome assembly;GO:0042273 ribosomal large subunit biogenesis,Ribosomal proteins; Predicted intracellular proteins,Cytosol;Endoplasmic reticulum (Supported),,(M5926)HALLMARK MYC TARGETS V1
139065,SLITRK4,SLIT and NTRK like family member 4,GO:0099174 regulation of presynapse organization;GO:1905606 regulation of presynapse assembly;GO:0051965 positive regulation of synapse assembly,,,,
6202,RPS8,ribosomal protein S8,"GO:0000462 maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);GO:0030490 maturation of SSU-rRNA;GO:0042274 ribosomal small subunit biogenesis",Ribosomal proteins; Predicted intracellular proteins,Cytosol;Endoplasmic reticulum (Enhanced),,
6159,RPL29,ribosomal protein L29,GO:0007566 embryo implantation;GO:0002181 cytoplasmic translation;GO:0007565 female pregnancy,Ribosomal proteins; Predicted intracellular proteins,Cytosol;Endoplasmic reticulum;Nucleoli (Supported),,
514,ATP5F1E,ATP synthase F1 subunit epsilon,GO:0042776 proton motive force-driven mitochondrial ATP synthesis;GO:0015986 proton motive force-driven ATP synthesis;GO:0006754 ATP biosynthetic process,Human disease related genes:Congenital disorders of metabolism:Mitochondrial diseases; Predicted intracellular proteins; Disease related genes,,,(M5936)HALLMARK OXIDATIVE PHOSPHORYLATION
6217,RPS16,ribosomal protein S16,"GO:0000462 maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);GO:0030490 maturation of SSU-rRNA;GO:0042274 ribosomal small subunit biogenesis",Ribosomal proteins; Predicted intracellular proteins,Cytosol;Endoplasmic reticulum (Enhanced),,
3726,JUNB,"JunB proto-oncogene, AP-1 transcription factor subunit",GO:0002158 osteoclast proliferation;GO:0060136 embryonic process involved in female pregnancy;GO:0033687 osteoblast proliferation,Transcription factors:Basic domains; Human disease related genes:Cancers:Skin cancers; Predicted intracellular proteins; Human disease related genes:Cancers:Cancers of haematopoietic and lymphoid tissues,Nucleoplasm (Supported),(M235)PID TCR CALCIUM PATHWAY; (M65)PID FRA PATHWAY; (M60)PID NFAT TFPATHWAY,(M5938)HALLMARK REACTIVE OXYGEN SPECIES PATHWAY; (M5896)HALLMARK TGF BETA SIGNALING; (M5941)HALLMARK UV RESPONSE UP
9883,POM121,POM121 transmembrane nucleoporin,GO:0006405 RNA export from nucleus;GO:0006606 protein import into nucleus;GO:0051170 import into nucleus,Transporters:Transporter channels and pores; Predicted intracellular proteins,Nuclear membrane;Nucleoplasm (Enhanced),,(M5898)HALLMARK DNA REPAIR; (M5939)HALLMARK P53 PATHWAY
84919,PPP1R15B,protein phosphatase 1 regulatory subunit 15B,GO:1902310 positive regulation of peptidyl-serine dephosphorylation;GO:1903898 negative regulation of PERK-mediated unfolded protein response;GO:1902308 regulation of peptidyl-serine dephosphorylation,Human disease related genes:Congenital malformations:Other congenital malformations; Predicted intracellular proteins; Disease related genes,Golgi apparatus (Approved),,(M5905)HALLMARK ADIPOGENESIS
140707,BRI3BP,BRI3 binding protein,,Transporters:Transporter channels and pores,Mitochondria;Nucleoplasm (Approved),,
6164,RPL34,ribosomal protein L34,GO:0002181 cytoplasmic translation;GO:0006412 translation;GO:0043043 peptide biosynthetic process,Ribosomal proteins; Predicted intracellular proteins,Cytosol;Endoplasmic reticulum (Supported); Additional: Nucleoli,,(M5926)HALLMARK MYC TARGETS V1
7077,TIMP2,TIMP metallopeptidase inhibitor 2,GO:0051045 negative regulation of membrane protein ectodomain proteolysis;GO:1905049 negative regulation of metallopeptidase activity;GO:1905048 regulation of metallopeptidase activity,Cancer-related genes:Candidate cancer biomarkers; Predicted secreted proteins; Predicted intracellular proteins; Candidate cardiovascular disease genes,,(M3468)NABA ECM REGULATORS; (M5885)NABA MATRISOME ASSOCIATED; (M5889)NABA MATRISOME,(M5902)HALLMARK APOPTOSIS; (M5921)HALLMARK COMPLEMENT
