Gene,Gene Symbol,Description,Biological Process (GO),Kinase Class (UniProt),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Canonical Pathways,Hallmark Gene Sets
4978,OPCML,opioid binding protein/cell adhesion molecule like,GO:0008038 neuron recognition;GO:0008037 cell recognition;GO:0048666 neuron development,,Human disease related genes:Cancers:Cancers of the breast and female genital organs; Predicted intracellular proteins; Disease related genes,,,
1496,CTNNA2,catenin alpha 2,GO:0021942 radial glia guided migration of Purkinje cell;GO:0034316 negative regulation of Arp2/3 complex-mediated actin nucleation;GO:0051823 regulation of synapse structural plasticity,,Human disease related genes:Congenital malformations:Congenital malformations of the nervous system; Predicted intracellular proteins; Disease related genes,,,
80059,LRRTM4,leucine rich repeat transmembrane neuronal 4,,,Predicted intracellular proteins; Transporters:Accessory Factors Involved in Transport,,,
23245,ASTN2,astrotactin 2,GO:0048104 establishment of body hair or bristle planar orientation;GO:0048105 establishment of body hair planar orientation;GO:2000009 negative regulation of protein localization to cell surface,,Predicted intracellular proteins,Cytosol (Approved); Additional: Nucleoplasm,,
22871,NLGN1,neuroligin 1,GO:0048789 cytoskeletal matrix organization at active zone;GO:0090125 cell-cell adhesion involved in synapse maturation;GO:0097115 neurexin clustering involved in presynaptic membrane assembly,,Disease related genes; Transporters:Accessory Factors Involved in Transport; Predicted intracellular proteins; Human disease related genes:Other diseases:Mental and behavioural disorders; Potential drug targets,Plasma membrane (Uncertain); Additional: Nuclear bodies,,
2895,GRID2,glutamate ionotropic receptor delta type subunit 2,GO:0021684 cerebellar granular layer formation;GO:0021707 cerebellar granule cell differentiation;GO:1900454 positive regulation of long-term synaptic depression,,Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Predicted intracellular proteins; Disease related genes,,,(M5956)HALLMARK KRAS SIGNALING DN
1740,DLG2,discs large MAGUK scaffold protein 2,GO:0099642 retrograde axonal protein transport;GO:0099640 axo-dendritic protein transport;GO:0099641 anterograde axonal protein transport,yes,Predicted intracellular proteins,Plasma membrane (Approved); Additional: Vesicles,,
6091,ROBO1,roundabout guidance receptor 1,GO:0021823 cerebral cortex tangential migration using cell-cell interactions;GO:0021825 substrate-dependent cerebral cortex tangential migration;GO:0021827 postnatal olfactory bulb interneuron migration,,Predicted intracellular proteins,Plasma membrane (Enhanced),(M142)PID AJDISS 2PATHWAY,
10718,NRG3,neuregulin 3,GO:0021840 directional guidance of interneurons involved in migration from the subpallium to the cortex;GO:0021842 chemorepulsion involved in interneuron migration from the subpallium to the cortex;GO:0060596 mammary placode formation,,Cancer-related genes:Candidate cancer biomarkers; Predicted secreted proteins,Vesicles (Uncertain),(M201)PID ERBB NETWORK PATHWAY; (M13)PID ERBB4 PATHWAY; (M5883)NABA SECRETED FACTORS,
23236,PLCB1,phospholipase C beta 1,GO:1905630 response to glyceraldehyde;GO:1905631 cellular response to glyceraldehyde;GO:2000559 regulation of CD24 production,,Enzymes; Disease related genes; Human disease related genes:Nervous system diseases:Epilepsy; Predicted intracellular proteins; ENZYME proteins:Hydrolases; Potential drug targets,Plasma membrane (Approved),(M252)PID IL8 CXCR1 PATHWAY; (M213)PID AR NONGENOMIC PATHWAY; (M210)PID IL8 CXCR2 PATHWAY,(M5923)HALLMARK PI3K AKT MTOR SIGNALING
440279,UNC13C,unc-13 homolog C,GO:0031914 negative regulation of synaptic plasticity;GO:0061789 dense core granule priming;GO:0099011 neuronal dense core vesicle exocytosis,,Predicted intracellular proteins,,,
