Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
DisGeNET,35,C0234985,Mental deterioration,,-7.3,8.7,8.8,30286,508,75,11,15,4.1,811|1137|1203|3737|3745|5621|5654|6506|8507|9575|10846,CALR|CHRNA4|CLN5|KCNA2|KCNB1|PRNP|HTRA1|SLC1A2|ENC1|CLOCK|PDE10A,-2.8,Npas2
COVID,200,COVID022,RNA_Keller_B-cells-CD21pos_infection_Up,,-6.5,12,9,30286,269,75,8,11,3.6,5027|8482|9672|10125|80757|94103|124222|252995,P2RX7|SEMA7A|SDC3|RASGRP1|TMEM121|ORMDL3|PAQR4|FNDC5,-2.4,Npas2
Cell Type Signatures,7,M41648,TRAVAGLINI LUNG CLUB CELL,,-6.4,21,11,30286,114,75,6,8,3.1,6154|6160|6193|6201|8835|23231,RPL26|RPL31|RPS5|RPS7|SOCS2|SEL1L3,-2.4,Npas2
Cell Type Signatures,7,M39067,MANNO MIDBRAIN NEUROTYPES HDA,,-5.4,7.2,7,30286,506,75,9,12,3.8,1137|3800|5097|8507|8851|9951|24147|57468|252995,CHRNA4|KIF5C|PCDH1|ENC1|CDK5R1|HS3ST4|FJX1|SLC12A5|FNDC5,-1.6,Npas2
DisGeNET,35,C4048158,Convulsions,,-5.3,14,8.5,30286,173,75,6,8,3.1,1137|3737|5027|6324|8851|57468,CHRNA4|KCNA2|P2RX7|SCN1B|CDK5R1|SLC12A5,-1.6,Npas2
DisGeNET,35,C4505072,Epileptic Syndromes,,-5.3,35,12,30286,46,75,4,5.3,2.6,1137|5621|6324|57468,CHRNA4|PRNP|SCN1B|SLC12A5,-1.6,Npas2
Cell Type Signatures,7,M41752,RUBENSTEIN SKELETAL MUSCLE T CELLS,,-5.2,13,8.3,30286,181,75,6,8,3.1,6139|6154|6160|6193|6201|9592,RPL17|RPL26|RPL31|RPS5|RPS7|IER2,-1.6,Npas2
DisGeNET,35,C0040822,Tremor,,-5.2,6.9,6.8,30286,528,75,9,12,3.8,406|3737|3745|5621|6324|6506|8851|10846|54112,BMAL1|KCNA2|KCNB1|PRNP|SCN1B|SLC1A2|CDK5R1|PDE10A|GPR88,-1.6,Npas2
DisGeNET,35,C1535926,Neurodevelopmental Disorders,,-5.2,6.8,6.7,30286,534,75,9,12,3.8,406|811|1137|3737|3745|3800|4297|10846|57468,BMAL1|CALR|CHRNA4|KCNA2|KCNB1|KIF5C|KMT2A|PDE10A|SLC12A5,-1.6,Npas2
Cell Type Signatures,7,M39202,HAY BONE MARROW NAIVE T CELL,,-5.1,8,7.1,30286,403,75,8,11,3.6,3566|6139|6160|6193|6201|10125|10140|94103,IL4R|RPL17|RPL31|RPS5|RPS7|RASGRP1|TOB1|ORMDL3,-1.6,Npas2
DisGeNET,35,C2936719,Mechanical Allodynia,,-5.1,7.9,7,30286,408,75,8,11,3.6,406|3566|5027|6506|8851|9575|11334|57468,BMAL1|IL4R|P2RX7|SLC1A2|CDK5R1|CLOCK|TUSC2|SLC12A5,-1.6,Npas2
Cell Type Signatures,7,M40015,BUSSLINGER GASTRIC LYZ POSITIVE CELLS,,-5.1,18,9,30286,111,75,5,6.7,2.9,6139|6154|6160|6193|6201,RPL17|RPL26|RPL31|RPS5|RPS7,-1.6,Npas2
Cell Type Signatures,7,M41748,RUBENSTEIN SKELETAL MUSCLE SATELLITE CELLS,,-4.9,9.1,7.2,30286,310,75,7,9.3,3.4,6139|6154|6160|6193|6201|9592|10252,RPL17|RPL26|RPL31|RPS5|RPS7|IER2|SPRY1,-1.5,Npas2
Cell Type Signatures,7,M39174,MURARO PANCREAS ACINAR CELL,,-4.9,5.5,6.2,30286,731,75,10,13,3.9,6139|6154|6160|6193|6201|8507|9592|10140|23216|23231,RPL17|RPL26|RPL31|RPS5|RPS7|ENC1|IER2|TOB1|TBC1D1|SEL1L3,-1.5,Npas2
DisGeNET,35,C0017168,Gastroesophageal reflux disease,,-4.8,7.2,6.6,30286,446,75,8,11,3.6,811|3737|3745|4297|5027|6506|9575|55534,CALR|KCNA2|KCNB1|KMT2A|P2RX7|SLC1A2|CLOCK|MAML3,-1.5,Npas2
DisGeNET,35,C0233794,Memory impairment,,-4.7,5.3,6,30286,763,75,10,13,3.9,1137|4297|5621|6506|8851|9575|9759|56848|57468|252995,CHRNA4|KMT2A|PRNP|SLC1A2|CDK5R1|CLOCK|HDAC4|SPHK2|SLC12A5|FNDC5,-1.4,Npas2
DisGeNET,35,C0004936,Mental disorders,,-4.6,5.1,5.8,30286,789,75,10,13,3.9,811|1137|5027|6506|9575|9759|10846|54112|57468|114801,CALR|CHRNA4|P2RX7|SLC1A2|CLOCK|HDAC4|PDE10A|GPR88|SLC12A5|TMEM200A,-1.3,Npas2
DisGeNET,35,C1842581,Abnormal corpus callosum morphology,,-4.6,23,9.2,30286,70,75,4,5.3,2.6,3737|3745|4297|6506,KCNA2|KCNB1|KMT2A|SLC1A2,-1.3,Npas2
DisGeNET,35,C0014556,"Epilepsy, Temporal Lobe",,-4.5,8,6.6,30286,354,75,7,9.3,3.4,5027|5621|6324|6506|8482|10846|57468,P2RX7|PRNP|SCN1B|SLC1A2|SEMA7A|PDE10A|SLC12A5,-1.3,Npas2
DisGeNET,35,C0231686,"Gait, Unsteady",,-4.5,14,7.8,30286,143,75,5,6.7,2.9,3737|3745|5621|6506|10846,KCNA2|KCNB1|PRNP|SLC1A2|PDE10A,-1.3,Npas2
DisGeNET,35,C0851578,Sleep Disorders,,-4.5,7.9,6.5,30286,359,75,7,9.3,3.4,406|1137|4297|5027|5621|9575|9759,BMAL1|CHRNA4|KMT2A|P2RX7|PRNP|CLOCK|HDAC4,-1.3,Npas2
DisGeNET,35,C0270850,Idiopathic generalized epilepsy,,-4,17,7.8,30286,94,75,4,5.3,2.6,1137|6324|6506|57468,CHRNA4|SCN1B|SLC1A2|SLC12A5,-0.92,Npas2
DisGeNET,35,C0525045,Mood Disorders,,-4,5.6,5.5,30286,580,75,8,11,3.6,406|811|5027|5621|6506|9575|9759|57468,BMAL1|CALR|P2RX7|PRNP|SLC1A2|CLOCK|HDAC4|SLC12A5,-0.92,Npas2
DisGeNET,35,C0026838,Muscle Spasticity,,-4,5.6,5.5,30286,580,75,8,11,3.6,3737|3745|5621|5654|6324|6506|57468|84919,KCNA2|KCNB1|PRNP|HTRA1|SCN1B|SLC1A2|SLC12A5|PPP1R15B,-0.92,Npas2
DisGeNET,35,C0542476,Forgetful,,-4,6.6,5.8,30286,429,75,7,9.3,3.4,1137|4297|5621|8851|9575|9759|252995,CHRNA4|KMT2A|PRNP|CDK5R1|CLOCK|HDAC4|FNDC5,-0.92,Npas2
Cell Type Signatures,7,M39068,MANNO MIDBRAIN NEUROTYPES HDA1,,-4,5.5,5.5,30286,584,75,8,11,3.6,1137|3800|5097|8507|8851|9672|9951|57468,CHRNA4|KIF5C|PCDH1|ENC1|CDK5R1|SDC3|HS3ST4|SLC12A5,-0.91,Npas2
DisGeNET,35,C0543888,Epileptic encephalopathy,,-4,11,6.7,30286,187,75,5,6.7,2.9,3737|3745|6324|6506|57468,KCNA2|KCNB1|SCN1B|SLC1A2|SLC12A5,-0.91,Npas2
DisGeNET,35,C0007758,Cerebellar Ataxia,,-4,6.4,5.7,30286,440,75,7,9.3,3.4,1137|1203|3737|3745|3980|5621|146057,CHRNA4|CLN5|KCNA2|KCNB1|LIG3|PRNP|TTBK2,-0.91,Npas2
Cell Type Signatures,7,M39055,MANNO MIDBRAIN NEUROTYPES HRGL2A,,-3.9,5.4,5.4,30286,600,75,8,11,3.6,1301|5097|5654|6506|9592|9759|10252|23231,COL11A1|PCDH1|HTRA1|SLC1A2|IER2|HDAC4|SPRY1|SEL1L3,-0.91,Npas2
DisGeNET,35,C0037317,Sleep disturbances,,-3.9,7.8,6,30286,310,75,6,8,3.1,406|4297|5027|5621|9575|9759,BMAL1|KMT2A|P2RX7|PRNP|CLOCK|HDAC4,-0.91,Npas2
