Gene,Gene Symbol,Description,Biological Process (GO),Kinase Class (UniProt),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Canonical Pathways,Hallmark Gene Sets
29844,TFPT,TCF3 fusion partner,GO:1904507 positive regulation of telomere maintenance in response to DNA damage;GO:0060382 regulation of DNA strand elongation;GO:1904505 regulation of telomere maintenance in response to DNA damage,,Predicted intracellular proteins; Disease related genes,Nucleoplasm (Supported),,
140458,ASB5,ankyrin repeat and SOCS box containing 5,GO:0045732 positive regulation of protein catabolic process;GO:0042176 regulation of protein catabolic process;GO:0009896 positive regulation of catabolic process,,Predicted intracellular proteins,Plasma membrane (Approved),,
167410,LIX1,limb and CNS expressed 1,GO:0097352 autophagosome maturation;GO:0032984 protein-containing complex disassembly;GO:0016236 macroautophagy,,Predicted intracellular proteins,Cytosol (Approved); Additional: Cytokinetic bridge;Vesicles,,
7139,TNNT2,"troponin T2, cardiac type",GO:0030049 muscle filament sliding;GO:0033275 actin-myosin filament sliding;GO:0032780 negative regulation of ATP-dependent activity,,Disease related genes; Predicted intracellular proteins; Human disease related genes:Cardiovascular diseases:Cardiac diseases; Candidate cardiovascular disease genes,Nucleoli;Nucleoplasm (Uncertain); Additional: Focal adhesion sites;Microtubules,,(M5909)HALLMARK MYOGENESIS; (M5953)HALLMARK KRAS SIGNALING UP
5355,PLP2,proteolipid protein 2,GO:0006935 chemotaxis;GO:0042330 taxis;GO:0040011 locomotion,,Transporters:Transporter channels and pores,,,
170850,KCNG3,potassium voltage-gated channel modifier subfamily G member 3,GO:0071805 potassium ion transmembrane transport;GO:0006813 potassium ion transport;GO:0051260 protein homooligomerization,,Voltage-gated ion channels:Voltage-Gated Potassium Channels,Cytoplasmic bodies (Approved),,
57794,SUGP1,SURP and G-patch domain containing 1,GO:0008380 RNA splicing;GO:0006397 mRNA processing;GO:0016071 mRNA metabolic process,,Predicted intracellular proteins,Nucleoplasm (Approved),,
1628,DBP,D-box binding PAR bZIP transcription factor,GO:0048511 rhythmic process;GO:0045944 positive regulation of transcription by RNA polymerase II;GO:0045893 positive regulation of DNA-templated transcription,,Transcription factors:Basic domains; Predicted intracellular proteins,,,(M5942)HALLMARK UV RESPONSE DN
164592,CCDC116,coiled-coil domain containing 116,,,Predicted intracellular proteins,,,
2046,EPHA8,EPH receptor A8,GO:0071372 cellular response to follicle-stimulating hormone stimulus;GO:0016322 neuron remodeling;GO:0032354 response to follicle-stimulating hormone,yes,Enzymes; ENZYME proteins:Transferases; Predicted intracellular proteins; Cancer-related genes:Candidate cancer biomarkers; Kinases:Tyr protein kinases,,(M177)PID EPHA FWDPATHWAY,
55509,BATF3,basic leucine zipper ATF-like transcription factor 3,GO:0043011 myeloid dendritic cell differentiation;GO:0001773 myeloid dendritic cell activation;GO:0097028 dendritic cell differentiation,,Transcription factors:Basic domains; Predicted intracellular proteins,Nucleoli (Supported); Additional: Cytosol;Nucleoplasm,(M235)PID TCR CALCIUM PATHWAY; (M60)PID NFAT TFPATHWAY,(M5947)HALLMARK IL2 STAT5 SIGNALING
57101,ANO2,anoctamin 2,GO:1902476 chloride transmembrane transport;GO:0006821 chloride transport;GO:0098661 inorganic anion transmembrane transport,,Transporters:Transporter channels and pores,Plasma membrane (Supported); Additional: Nucleoplasm,,
2272,FHIT,fragile histidine triad diadenosine triphosphatase,GO:0015962 diadenosine triphosphate metabolic process;GO:0015964 diadenosine triphosphate catabolic process;GO:0015961 diadenosine polyphosphate catabolic process,,Human disease related genes:Cancers:Cancers of the lung and pleura; Enzymes; Potential drug targets; ENZYME proteins:Transferases; Predicted intracellular proteins; Cancer-related genes:Candidate cancer biomarkers; ENZYME proteins:Hydrolases; Disease related genes,Nucleoli fibrillar center;Plasma membrane (Approved),,
55117,SLC6A15,solute carrier family 6 member 15,GO:0015820 leucine transport;GO:0015824 proline transport;GO:0015803 branched-chain amino acid transport,,Transporters:Electrochemical Potential-driven transporters; Predicted intracellular proteins,Nucleoli (Approved); Additional: Vesicles,,
145957,NRG4,neuregulin 4,GO:0038138 ERBB4-ERBB4 signaling pathway;GO:0038130 ERBB4 signaling pathway;GO:0038127 ERBB signaling pathway,,Predicted secreted proteins,,(M201)PID ERBB NETWORK PATHWAY; (M13)PID ERBB4 PATHWAY; (M5883)NABA SECRETED FACTORS,
9099,USP2,ubiquitin specific peptidase 2,GO:0045475 locomotor rhythm;GO:0048512 circadian behavior;GO:0007622 rhythmic behavior,,Enzymes; Predicted intracellular proteins; ENZYME proteins:Hydrolases; Peptidases:Cysteine-type peptidases,Cytosol (Supported); Additional: Plasma membrane,,
116966,WDR17,WD repeat domain 17,,,Predicted intracellular proteins,Nuclear speckles (Approved),,
79365,BHLHE41,basic helix-loop-helix family member e41,GO:0010944 negative regulation of transcription by competitive promoter binding;GO:0010832 negative regulation of myotube differentiation;GO:0051154 negative regulation of striated muscle cell differentiation,,Transcription factors:Basic domains; Predicted intracellular proteins,Nucleoplasm (Supported); Additional: Vesicles,(M255)PID HIF1 TFPATHWAY,
140862,ISM1,isthmin 1,GO:0016525 negative regulation of angiogenesis;GO:2000181 negative regulation of blood vessel morphogenesis;GO:1901343 negative regulation of vasculature development,,Predicted secreted proteins,,(M5883)NABA SECRETED FACTORS; (M5885)NABA MATRISOME ASSOCIATED; (M5889)NABA MATRISOME,
7008,TEF,"TEF transcription factor, PAR bZIP family member",GO:0048511 rhythmic process;GO:0045944 positive regulation of transcription by RNA polymerase II;GO:0045893 positive regulation of DNA-templated transcription,,Transcription factors:Basic domains; Predicted intracellular proteins,,,
146845,CFAP52,cilia and flagella associated protein 52,GO:0061966 establishment of left/right asymmetry;GO:0030317 flagellated sperm motility;GO:0097722 sperm motility,,Human disease related genes:Congenital malformations:Other congenital malformations; Predicted intracellular proteins; Disease related genes,Centrosome (Approved); Additional: Microtubules,,
9162,DGKI,diacylglycerol kinase iota,GO:0046834 lipid phosphorylation;GO:0046339 diacylglycerol metabolic process;GO:0007205 protein kinase C-activating G protein-coupled receptor signaling pathway,yes,Enzymes; ENZYME proteins:Transferases; Predicted intracellular proteins,,,
148523,CIART,circadian associated repressor of transcription,GO:0045475 locomotor rhythm;GO:0048512 circadian behavior;GO:0007622 rhythmic behavior,,Predicted intracellular proteins,Nucleoplasm (Approved),,
79710,MORC4,MORC family CW-type zinc finger 4,,,Cancer-related genes:Mutated cancer genes; Predicted intracellular proteins,Nucleoplasm (Enhanced),,
25902,MTHFD1L,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like,GO:0009257 10-formyltetrahydrofolate biosynthetic process;GO:0009256 10-formyltetrahydrofolate metabolic process;GO:0015942 formate metabolic process,,Enzymes; Predicted intracellular proteins; ENZYME proteins:Ligase,Mitochondria (Enhanced),,
93035,PKHD1L1,PKHD1 like 1,GO:0007605 sensory perception of sound;GO:0050954 sensory perception of mechanical stimulus;GO:0007600 sensory perception,,,,,
25966,C2CD2,C2 calcium dependent domain containing 2,,,Predicted intracellular proteins,Nucleoplasm (Approved),,
137392,CIBAR1,CBY1 interacting BAR domain containing 1,GO:0097749 membrane tubulation;GO:0045880 positive regulation of smoothened signaling pathway;GO:0007007 inner mitochondrial membrane organization,,Human disease related genes:Congenital malformations:Congenital malformations of the musculoskeletal system; Predicted intracellular proteins; Disease related genes,Mitochondria (Supported),,
11255,HRH3,histamine receptor H3,GO:0014063 negative regulation of serotonin secretion;GO:0014050 negative regulation of glutamate secretion;GO:0007197 adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway,,FDA approved drug targets:Small molecule drugs; G-protein coupled receptors:GPCRs excl olfactory receptors,,,
91057,CCDC34,coiled-coil domain containing 34,GO:0007283 spermatogenesis;GO:0048232 male gamete generation;GO:0007276 gamete generation,,Human disease related genes:Reproductive system diseases:Reproductive system diseases; Predicted intracellular proteins; Disease related genes,Nuclear membrane;Nucleoli fibrillar center (Approved),,
7913,DEK,DEK proto-oncogene,GO:0045945 positive regulation of transcription by RNA polymerase III;GO:0019079 viral genome replication;GO:2001032 regulation of double-strand break repair via nonhomologous end joining,,Cancer-related genes:Candidate cancer biomarkers; Predicted intracellular proteins; Disease related genes,Nucleoplasm (Supported); Additional: Cytosol,,(M5925)HALLMARK E2F TARGETS; (M5926)HALLMARK MYC TARGETS V1
310,ANXA7,annexin A7,GO:0006914 autophagy;GO:0061919 process utilizing autophagic mechanism;GO:0030855 epithelial cell differentiation,,Cancer-related genes:Candidate cancer biomarkers; Predicted intracellular proteins,,(M5880)NABA ECM AFFILIATED; (M5885)NABA MATRISOME ASSOCIATED; (M5889)NABA MATRISOME,
8448,DOC2A,double C2 domain alpha,GO:0031632 positive regulation of synaptic vesicle fusion to presynaptic active zone membrane;GO:0099502 calcium-dependent activation of synaptic vesicle fusion;GO:1901634 positive regulation of synaptic vesicle membrane organization,,Predicted intracellular proteins,Cell Junctions (Uncertain); Additional: Nucleoli;Nucleoplasm,,
2681,GGTA1,glycoprotein alpha-galactosyltransferase 1 (inactive),GO:1901750 leukotriene D4 biosynthetic process;GO:1901748 leukotriene D4 metabolic process;GO:0019370 leukotriene biosynthetic process,,Predicted intracellular proteins,Cytosol;Plasma membrane (Approved),,
9134,CCNE2,cyclin E2,GO:0006270 DNA replication initiation;GO:0007129 homologous chromosome pairing at meiosis;GO:1900087 positive regulation of G1/S transition of mitotic cell cycle,,Cancer-related genes:Candidate cancer biomarkers; Human disease related genes:Cancers:Head and neck cancers; Predicted intracellular proteins,,(M3686)SA REG CASCADE OF CYCLIN EXPR; (M40)PID E2F PATHWAY; (M19)PID P73PATHWAY,
3131,HLF,"HLF transcription factor, PAR bZIP family member",GO:0035914 skeletal muscle cell differentiation;GO:0007519 skeletal muscle tissue development;GO:0060538 skeletal muscle organ development,,Transcription factors:Basic domains; Predicted intracellular proteins; Disease related genes; Cancer-related genes,Nucleoplasm (Enhanced),,
8419,BFSP2,beaded filament structural protein 2,GO:0070307 lens fiber cell development;GO:0070306 lens fiber cell differentiation;GO:0045109 intermediate filament organization,,Human disease related genes:Nervous system diseases:Eye disease; Predicted intracellular proteins; Disease related genes,Cytosol;Plasma membrane (Uncertain),,
9572,NR1D1,nuclear receptor subfamily 1 group D member 1,GO:0060086 circadian temperature homeostasis;GO:0070859 positive regulation of bile acid biosynthetic process;GO:1904253 positive regulation of bile acid metabolic process,,Transcription factors:Zinc-coordinating DNA-binding domains; Predicted intracellular proteins; Nuclear receptors,Nuclear bodies (Supported),(M95)PID CIRCADIAN PATHWAY,
56154,TEX15,"testis expressed 15, meiosis and synapsis associated",GO:0006346 DNA methylation-dependent heterochromatin formation;GO:0007130 synaptonemal complex assembly;GO:0140718 facultative heterochromatin formation,,Human disease related genes:Reproductive system diseases:Reproductive system diseases; Predicted intracellular proteins; Disease related genes,Cytosol;Nucleoplasm (Approved),,(M5956)HALLMARK KRAS SIGNALING DN
6567,SLC16A2,solute carrier family 16 member 2,GO:0070460 thyroid-stimulating hormone secretion;GO:0070327 thyroid hormone transport;GO:0006590 thyroid hormone generation,,Potential drug targets; Transporters:Electrochemical Potential-driven transporters; Human disease related genes:Endocrine and metabolic diseases:Thyroid gland diseases; Disease related genes,Plasma membrane (Approved),,
26993,AKAP8L,A-kinase anchoring protein 8 like,GO:0010793 regulation of mRNA export from nucleus;GO:2000197 regulation of ribonucleoprotein complex localization;GO:0051081 nuclear membrane disassembly,,Predicted intracellular proteins,Nuclear speckles (Supported),,
138199,CARNMT1,carnosine N-methyltransferase 1,GO:0035498 carnosine metabolic process;GO:0006548 histidine catabolic process;GO:0006547 histidine metabolic process,,Enzymes; ENZYME proteins:Transferases; Predicted intracellular proteins,,,
256006,ANKRD31,ankyrin repeat domain 31,GO:0010780 meiotic DNA double-strand break formation involved in reciprocal meiotic recombination;GO:1903341 regulation of meiotic DNA double-strand break formation;GO:1903343 positive regulation of meiotic DNA double-strand break formation,,Predicted intracellular proteins,Centrosome;Nucleoplasm (Approved); Additional: Nucleoli;Vesicles,,
4038,LRP4,LDL receptor related protein 4,GO:1901629 regulation of presynaptic membrane organization;GO:1901631 positive regulation of presynaptic membrane organization;GO:0051124 synaptic assembly at neuromuscular junction,,Human disease related genes:Nervous system diseases:Other nervous and sensory system diseases; Disease related genes; Human disease related genes:Congenital malformations:Congenital malformations of the musculoskeletal system; Predicted intracellular proteins; Transporters; Potential drug targets,Mitochondria (Uncertain); Additional: Nucleoplasm,,
9975,NR1D2,nuclear receptor subfamily 1 group D member 2,GO:2001014 regulation of skeletal muscle cell differentiation;GO:0048512 circadian behavior;GO:0007622 rhythmic behavior,,Transcription factors:Zinc-coordinating DNA-binding domains; Predicted intracellular proteins; Nuclear receptors,Nucleoplasm (Supported),,(M5942)HALLMARK UV RESPONSE DN
10678,B3GNT2,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2",GO:0030311 poly-N-acetyllactosamine biosynthetic process;GO:0030309 poly-N-acetyllactosamine metabolic process;GO:0018146 keratan sulfate biosynthetic process,,Enzymes; ENZYME proteins:Transferases,Vesicles (Approved),,
64506,CPEB1,cytoplasmic polyadenylation element binding protein 1,GO:2000766 negative regulation of cytoplasmic translation;GO:0031440 regulation of mRNA 3'-end processing;GO:2000765 regulation of cytoplasmic translation,,Predicted intracellular proteins,Cytosol;Nucleoplasm (Supported),(M242)PID AURORA A PATHWAY,
54894,RNF43,ring finger protein 43,GO:0038018 Wnt receptor catabolic process;GO:0032801 receptor catabolic process;GO:0043112 receptor metabolic process,,Enzymes; Disease related genes; ENZYME proteins:Transferases; Cancer-related genes:Mutational cancer driver genes; Potential drug targets,,(M19)PID P73PATHWAY,
8863,PER3,period circadian regulator 3,"GO:0045187 regulation of circadian sleep/wake cycle, sleep;GO:0042749 regulation of circadian sleep/wake cycle;GO:0043153 entrainment of circadian clock by photoperiod",,Human disease related genes:Nervous system diseases:Other nervous and sensory system diseases; Predicted intracellular proteins; Disease related genes,Cytosol (Supported),,
