Gene,Gene Symbol,Description,Biological Process (GO),Kinase Class (UniProt),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Canonical Pathways,Hallmark Gene Sets
8672,EIF4G3,eukaryotic translation initiation factor 4 gamma 3,GO:0006413 translational initiation;GO:0006446 regulation of translational initiation;GO:0045727 positive regulation of translation,,Predicted intracellular proteins,Cytosol (Approved),,(M5950)HALLMARK ALLOGRAFT REJECTION
81792,ADAMTS12,ADAM metallopeptidase with thrombospondin type 1 motif 12,GO:1902203 negative regulation of hepatocyte growth factor receptor signaling pathway;GO:2001112 regulation of cellular response to hepatocyte growth factor stimulus;GO:2001113 negative regulation of cellular response to hepatocyte growth factor stimulus,,Predicted secreted proteins,Nucleoli (Approved); Additional: Mitochondria,(M3468)NABA ECM REGULATORS; (M5885)NABA MATRISOME ASSOCIATED; (M5889)NABA MATRISOME,
6583,SLC22A4,solute carrier family 22 member 4,GO:1901374 acetate ester transport;GO:1902603 carnitine transmembrane transport;GO:0015879 carnitine transport,,Human disease related genes:Immune system diseases:Allergies and autoimmune diseases; Human disease related genes:Immune system diseases:Other immune system diseases; Disease related genes,Mitochondria (Approved),,(M5945)HALLMARK HEME METABOLISM
10260,DENND4A,DENN domain containing 4A,GO:0032483 regulation of Rab protein signal transduction;GO:0051056 regulation of small GTPase mediated signal transduction;GO:1902531 regulation of intracellular signal transduction,,Predicted intracellular proteins,Nucleoli rim (Approved); Additional: Mitotic chromosome;Nucleoplasm,,
57480,PLEKHG1,pleckstrin homology and RhoGEF domain containing G1,GO:0051056 regulation of small GTPase mediated signal transduction;GO:1902531 regulation of intracellular signal transduction;GO:0009966 regulation of signal transduction,,Predicted intracellular proteins,Nucleoplasm (Enhanced),,
57134,MAN1C1,mannosidase alpha class 1C member 1,"GO:0035977 protein deglycosylation involved in glycoprotein catabolic process;GO:0036507 protein demannosylation;GO:0036508 protein alpha-1,2-demannosylation",,Enzymes; ENZYME proteins:Hydrolases; Predicted intracellular proteins,Nucleoplasm;Vesicles (Uncertain),,
79033,ERI3,ERI1 exoribonuclease family member 3,"GO:0000467 exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA);GO:0031125 rRNA 3'-end processing;GO:0000466 maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",,Predicted intracellular proteins,Cytosol;Nucleoplasm (Approved),,
116984,ARAP2,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2",GO:0007165 signal transduction;GO:0023052 signaling;GO:0007154 cell communication,,Predicted intracellular proteins,Focal adhesion sites (Approved); Additional: Actin filaments,(M86)PID ARF6 PATHWAY,
79658,ARHGAP10,Rho GTPase activating protein 10,GO:0051056 regulation of small GTPase mediated signal transduction;GO:0043066 negative regulation of apoptotic process;GO:0043069 negative regulation of programmed cell death,,Predicted intracellular proteins,Nucleoplasm (Approved); Additional: Cytosol;Nuclear membrane,,(M5893)HALLMARK MITOTIC SPINDLE
55160,ARHGEF10L,Rho guanine nucleotide exchange factor 10 like,GO:0032933 SREBP signaling pathway;GO:0071501 cellular response to sterol depletion;GO:0006991 response to sterol depletion,,Predicted intracellular proteins,Cytosol;Golgi apparatus;Vesicles (Approved),(M68)PID RHOA REG PATHWAY,
23097,CDK19,cyclin dependent kinase 19,GO:0071222 cellular response to lipopolysaccharide;GO:0071219 cellular response to molecule of bacterial origin;GO:0071216 cellular response to biotic stimulus,yes,Enzymes; Kinases:CMGC Ser/Thr protein kinases; Human disease related genes:Nervous system diseases:Epilepsy; Potential drug targets; ENZYME proteins:Transferases; Predicted intracellular proteins; Disease related genes,Cytosol (Supported); Additional: Nucleoplasm,,
26059,ERC2,ELKS/RAB6-interacting/CAST family member 2,GO:0150037 regulation of calcium-dependent activation of synaptic vesicle fusion;GO:0048790 maintenance of presynaptic active zone structure;GO:1990709 presynaptic active zone organization,,Predicted intracellular proteins,,,
84898,PLXDC2,plexin domain containing 2,,,,Nuclear bodies (Supported),(M5880)NABA ECM AFFILIATED; (M5885)NABA MATRISOME ASSOCIATED; (M5889)NABA MATRISOME,
57569,ARHGAP20,Rho GTPase activating protein 20,GO:0035023 regulation of Rho protein signal transduction;GO:0051056 regulation of small GTPase mediated signal transduction;GO:1902531 regulation of intracellular signal transduction,,Predicted intracellular proteins; Disease related genes,Mitochondria (Approved),,
